Top-1 Errors:
2022090800_593: Predicted NFL ID 47857, Actual NFL ID 42448
2022090800_1102: Predicted NFL ID 42818, Actual NFL ID 52494
2022090800_1358: Predicted NFL ID 53678, Actual NFL ID 44881
2022090800_1563: Predicted NFL ID 44985, Actual NFL ID 42489
2022090800_2072: Predicted NFL ID 53079, Actual NFL ID 47857
2022090800_2163: Predicted NFL ID 42818, Actual NFL ID 47857
2022090800_2307: Predicted NFL ID 41290, Actual NFL ID 44881
2022090800_2815: Predicted NFL ID 44881, Actual NFL ID 46830
2022090800_2860: Predicted NFL ID 41290, Actual NFL ID 44881
2022090800_3455: Predicted NFL ID 44881, Actual NFL ID 43399
2022090800_3513: Predicted NFL ID 53486, Actual NFL ID 53678
2022090800_3537: Predicted NFL ID 44881, Actual NFL ID 53678
2022090800_3636: Predicted NFL ID 44881, Actual NFL ID 47853
2022091100_783: Predicted NFL ID 44879, Actual NFL ID 45244
2022091100_914: Predicted NFL ID 41808, Actual NFL ID 39975
2022091100_1046: Predicted NFL ID 48374, Actual NFL ID 39975
2022091100_1231: Predicted NFL ID 48374, Actual NFL ID 54473
2022091100_1260: Predicted NFL ID 52489, Actual NFL ID 39975
2022091100_1413: Predicted NFL ID 41292, Actual NFL ID 44879
2022091100_2595: Predicted NFL ID 52489, Actual NFL ID 39975
2022091100_2762: Predicted NFL ID 41292, Actual NFL ID 43336
2022091100_2878: Predicted NFL ID 46992, Actual NFL ID 53612
2022091100_2899: Predicted NFL ID 52489, Actual NFL ID 53612
2022091100_2984: Predicted NFL ID 41808, Actual NFL ID 39975
2022091100_3504: Predicted NFL ID 54476, Actual NFL ID 52942
2022091100_3554: Predicted NFL ID 48415, Actual NFL ID 44879
2022091101_620: Predicted NFL ID 53640, Actual NFL ID 46104
2022091101_772: Predicted NFL ID 43808, Actual NFL ID 46093
2022091101_1213: Predicted NFL ID 42347, Actual NFL ID 46104
2022091101_1468: Predicted NFL ID 54564, Actual NFL ID 52595
2022091101_1537: Predicted NFL ID 42347, Actual NFL ID 52523
2022091101_1590: Predicted NFL ID 44898, Actual NFL ID 53520
2022091101_1744: Predicted NFL ID 46093, Actual NFL ID 46170
2022091101_2199: Predicted NFL ID 53512, Actual NFL ID 44820
2022091101_2298: Predicted NFL ID 42347, Actual NFL ID 53640
2022091101_2930: Predicted NFL ID 46093, Actual NFL ID 44901
2022091101_2951: Predicted NFL ID 44820, Actual NFL ID 46170
2022091101_3101: Predicted NFL ID 44820, Actual NFL ID 53633
2022091101_3707: Predicted NFL ID 42347, Actual NFL ID 46104
2022091101_4242: Predicted NFL ID 53633, Actual NFL ID 44820
